date,employment_rate_16_64,percent_employees_16_64,percent_self_employed_16_64,unemployment_rate_16_plus,percent_econ_inactive_16_64,percent_econ_inactive_want_job,unemployment_rate_ethnic_minority_16_plus
Apr 2012-Mar 2013,406300.0,360900.0,42400.0,50500.0,176800.0,44500.0,3000.0
Jul 2012-Jun 2013,408700.0,363600.0,41800.0,49700.0,176300.0,44700.0,2600.0
Oct 2012-Sep 2013,410700.0,363200.0,44400.0,48300.0,171400.0,46600.0,3800.0
Jan 2013-Dec 2013,413700.0,364600.0,45900.0,47500.0,170300.0,45300.0,4300.0
Apr 2013-Mar 2014,414300.0,361600.0,48400.0,48700.0,168100.0,45100.0,3800.0
Jul 2013-Jun 2014,403900.0,354000.0,45900.0,47600.0,177400.0,48600.0,3600.0
Oct 2013-Sep 2014,409900.0,354900.0,49700.0,44000.0,178600.0,51200.0,4000.0
Jan 2014-Dec 2014,407500.0,354700.0,47500.0,44100.0,184900.0,54100.0,4200.0
Apr 2014-Mar 2015,414600.0,362300.0,47600.0,36400.0,185400.0,52100.0,4000.0
Jul 2014-Jun 2015,416900.0,361700.0,51100.0,36200.0,185200.0,51300.0,5800.0
Oct 2014-Sep 2015,411100.0,361800.0,47000.0,36300.0,189200.0,48000.0,6400.0
Jan 2015-Dec 2015,418100.0,368600.0,47200.0,28400.0,191500.0,47100.0,5100.0
Apr 2015-Mar 2016,421500.0,369300.0,50100.0,29900.0,189000.0,44800.0,4600.0
Jul 2015-Jun 2016,421500.0,369700.0,49800.0,30000.0,188300.0,40700.0,4600.0
Oct 2015-Sep 2016,424300.0,374700.0,47900.0,25600.0,188100.0,37600.0,2300.0
Jan 2016-Dec 2016,425700.0,377100.0,47300.0,28300.0,183200.0,33700.0,3600.0
Apr 2016-Mar 2017,426900.0,376800.0,49300.0,29300.0,185600.0,32500.0,4500.0
Jul 2016-Jun 2017,435100.0,385400.0,49500.0,26400.0,181200.0,35200.0,3000.0
Oct 2016-Sep 2017,440600.0,387200.0,52800.0,27000.0,180200.0,34500.0,4000.0
Jan 2017-Dec 2017,439300.0,384600.0,54100.0,25800.0,183800.0,36200.0,3400.0
Apr 2017-Mar 2018,441800.0,388300.0,52900.0,22400.0,184000.0,35000.0,3000.0
Jul 2017-Jun 2018,449100.0,397400.0,50700.0,20700.0,179200.0,30400.0,2500.0
Oct 2017-Sep 2018,455400.0,405300.0,49700.0,20600.0,174200.0,32300.0,1300.0
Jan 2018-Dec 2018,457000.0,409000.0,47000.0,20300.0,173800.0,30900.0,2100.0
Apr 2018-Mar 2019,450500.0,405300.0,43800.0,20100.0,179200.0,32500.0,1400.0
Jul 2018-Jun 2019,456400.0,406600.0,48800.0,20600.0,177100.0,34900.0,2000.0
Oct 2018-Sep 2019,457800.0,405900.0,50800.0,17400.0,176700.0,30900.0,2200.0
Jan 2019-Dec 2019,454000.0,397100.0,56100.0,18200.0,174800.0,30800.0,2800.0
Apr 2019-Mar 2020,460400.0,405700.0,54200.0,15700.0,167200.0,30100.0,2600.0
Jul 2019-Jun 2020,459300.0,407100.0,51600.0,16800.0,164600.0,29400.0,2400.0
Oct 2019-Sep 2020,459200.0,407400.0,50900.0,19900.0,159800.0,32100.0,3100.0
Jan 2020-Dec 2020,466100.0,418800.0,47000.0,20000.0,158400.0,34000.0,
Apr 2020-Mar 2021,468400.0,420200.0,47800.0,24100.0,156200.0,31700.0,3300.0
Jul 2020-Jun 2021,469300.0,424200.0,44300.0,25700.0,151000.0,26600.0,3600.0
Oct 2020-Sep 2021,475900.0,430100.0,44100.0,25700.0,146500.0,23400.0,3100.0
Jan 2021-Dec 2021,476800.0,429800.0,45300.0,24600.0,144100.0,19900.0,2400.0
Apr 2021-Mar 2022,482200.0,434500.0,45000.0,21400.0,142900.0,26400.0,
Jul 2021-Jun 2022,483200.0,438100.0,43000.0,18400.0,145200.0,27500.0,
Oct 2021-Sep 2022,467000.0,423700.0,42200.0,16800.0,163800.0,26600.0,
Jan 2022-Dec 2022,466900.0,420800.0,44900.0,16500.0,164300.0,32800.0,1900.0
Apr 2022-Mar 2023,470900.0,427100.0,43900.0,19600.0,165600.0,26400.0,4800.0
Jul 2022-Jun 2023,456800.0,411300.0,44500.0,23500.0,167800.0,23600.0,6200.0
Oct 2022-Sep 2023,468700.0,426300.0,41300.0,23300.0,157100.0,26200.0,7200.0
Jan 2023-Dec 2023,460100.0,419800.0,39200.0,29900.0,156100.0,20500.0,9400.0
Apr 2023-Mar 2024,457800.0,414900.0,41800.0,29800.0,152900.0,21600.0,7100.0
Jul 2023-Jun 2024,455500.0,418600.0,36900.0,28700.0,166900.0,31400.0,6200.0
Oct 2023-Sep 2024,458800.0,416000.0,42800.0,28100.0,162900.0,30000.0,5000.0
Jan 2024-Dec 2024,461000.0,411600.0,48500.0,27700.0,166200.0,28500.0,9000.0
Apr 2012-Mar 2013,192500.0,173100.0,18800.0,26100.0,101200.0,26000.0,2700.0
Jul 2012-Jun 2013,192700.0,173100.0,18100.0,25600.0,101800.0,25000.0,2500.0
Oct 2012-Sep 2013,195000.0,173200.0,19900.0,24900.0,101600.0,28000.0,3100.0
Jan 2013-Dec 2013,195700.0,172400.0,21300.0,27100.0,98300.0,26600.0,3600.0
Apr 2013-Mar 2014,196800.0,170400.0,23200.0,27800.0,96800.0,26200.0,2800.0
Jul 2013-Jun 2014,190500.0,166500.0,20900.0,27600.0,102700.0,27400.0,2600.0
Oct 2013-Sep 2014,192600.0,165700.0,23500.0,27700.0,99600.0,27800.0,3600.0
Jan 2014-Dec 2014,189600.0,164900.0,21600.0,27300.0,103900.0,31600.0,3700.0
Apr 2014-Mar 2015,193500.0,168100.0,23200.0,23300.0,105900.0,30600.0,3800.0
Jul 2014-Jun 2015,193400.0,165400.0,26600.0,23300.0,107300.0,30700.0,5700.0
Oct 2014-Sep 2015,193700.0,169000.0,23800.0,22000.0,110100.0,26200.0,6400.0
Jan 2015-Dec 2015,197300.0,172000.0,24400.0,16600.0,112100.0,25700.0,5100.0
Apr 2015-Mar 2016,199100.0,175300.0,22700.0,17500.0,111000.0,24300.0,4600.0
Jul 2015-Jun 2016,205300.0,181700.0,22400.0,17900.0,105000.0,22900.0,4400.0
Oct 2015-Sep 2016,208000.0,186800.0,20300.0,14900.0,106300.0,22100.0,2100.0
Jan 2016-Dec 2016,212400.0,191600.0,19900.0,16600.0,101800.0,18100.0,3400.0
Apr 2016-Mar 2017,215000.0,192100.0,22600.0,17000.0,99500.0,15900.0,4300.0
Jul 2016-Jun 2017,217200.0,194600.0,22600.0,14600.0,99700.0,17200.0,3000.0
Oct 2016-Sep 2017,219100.0,193500.0,25000.0,13400.0,98700.0,15400.0,4000.0
Jan 2017-Dec 2017,222500.0,197400.0,24600.0,14200.0,95600.0,15500.0,3400.0
Apr 2017-Mar 2018,224300.0,199400.0,24300.0,13000.0,95100.0,14500.0,3000.0
Jul 2017-Jun 2018,224500.0,201700.0,22200.0,11600.0,96200.0,12100.0,2500.0
Oct 2017-Sep 2018,229200.0,206900.0,22300.0,11500.0,92700.0,15000.0,1300.0
Jan 2018-Dec 2018,226900.0,203200.0,23200.0,9900.0,96100.0,15800.0,1900.0
Apr 2018-Mar 2019,221600.0,200100.0,20600.0,9700.0,101400.0,17400.0,1300.0
Jul 2018-Jun 2019,225500.0,200500.0,24200.0,10900.0,97300.0,20800.0,1400.0
Oct 2018-Sep 2019,226500.0,200200.0,25400.0,10000.0,96800.0,19700.0,1500.0
Jan 2019-Dec 2019,224600.0,194900.0,29000.0,11100.0,98000.0,20200.0,2100.0
Apr 2019-Mar 2020,230000.0,202900.0,26700.0,9700.0,93300.0,21000.0,2100.0
Jul 2019-Jun 2020,230200.0,206900.0,22900.0,9400.0,93000.0,19600.0,2300.0
Oct 2019-Sep 2020,230600.0,209500.0,20300.0,12800.0,90000.0,18900.0,3100.0
Jan 2020-Dec 2020,239000.0,220600.0,18000.0,10600.0,84500.0,17300.0,
Apr 2020-Mar 2021,239900.0,220600.0,18900.0,14600.0,79900.0,13700.0,3300.0
Jul 2020-Jun 2021,243200.0,224600.0,18300.0,16500.0,74000.0,10800.0,3600.0
Oct 2020-Sep 2021,246100.0,225000.0,20700.0,14700.0,72600.0,8900.0,2900.0
Jan 2021-Dec 2021,243600.0,222600.0,20500.0,15700.0,74400.0,9200.0,2200.0
Apr 2021-Mar 2022,247000.0,223700.0,23000.0,11200.0,74400.0,15700.0,
Jul 2021-Jun 2022,247400.0,226300.0,20600.0,8500.0,77000.0,15200.0,
Oct 2021-Sep 2022,235700.0,214000.0,21700.0,6400.0,92200.0,16300.0,
Jan 2022-Dec 2022,232400.0,207900.0,24400.0,6400.0,93300.0,19100.0,
Apr 2022-Mar 2023,232800.0,209600.0,23100.0,10600.0,92300.0,14600.0,3900.0
Jul 2022-Jun 2023,227900.0,200300.0,26600.0,14400.0,93300.0,13500.0,5500.0
Oct 2022-Sep 2023,233600.0,209300.0,23200.0,15800.0,85500.0,16600.0,5400.0
Jan 2023-Dec 2023,226500.0,207600.0,17800.0,21700.0,87500.0,14800.0,7500.0
Apr 2023-Mar 2024,223500.0,201400.0,20900.0,19500.0,90600.0,15600.0,6000.0
Jul 2023-Jun 2024,222300.0,207900.0,14400.0,16200.0,97100.0,21800.0,5000.0
Oct 2023-Sep 2024,226200.0,208500.0,17600.0,15300.0,94700.0,20800.0,4500.0
Jan 2024-Dec 2024,224900.0,205100.0,19800.0,15700.0,96400.0,18800.0,8400.0
Jan 2014-Dec 2014,,,,,1900.0,,
Apr 2014-Mar 2015,,,,,1600.0,,
Jul 2014-Jun 2015,,,,,1600.0,,
Oct 2014-Sep 2015,,,,,1600.0,,
Jan 2015-Dec 2015,,,,,2000.0,,
Jul 2015-Jun 2016,5800.0,5000.0,,,,,
Oct 2015-Sep 2016,7000.0,5700.0,,,,,
Jan 2016-Dec 2016,4900.0,3500.0,,,,,
Apr 2016-Mar 2017,6400.0,5100.0,,,,,
Jul 2016-Jun 2017,4600.0,3400.0,,,,,
Oct 2016-Sep 2017,4900.0,3500.0,,,,,
Jan 2017-Dec 2017,7200.0,6000.0,,,3900.0,,
Apr 2017-Mar 2018,5400.0,4100.0,,,3400.0,,
Jul 2017-Jun 2018,6100.0,4500.0,,,,,
Oct 2017-Sep 2018,7100.0,6400.0,,,,,
Jan 2018-Dec 2018,5700.0,5000.0,,,,,
Apr 2018-Mar 2019,6400.0,5600.0,,,,,
Jul 2018-Jun 2019,8100.0,8100.0,,,,,
Oct 2018-Sep 2019,6700.0,6700.0,,,,,
Jan 2019-Dec 2019,7400.0,7400.0,,,,,
Apr 2019-Mar 2020,7700.0,7700.0,,,,,
Oct 2019-Sep 2020,12100.0,12100.0,,,,,
Jan 2020-Dec 2020,9100.0,9100.0,,,,,
Apr 2020-Mar 2021,14500.0,12100.0,,,,,
Jul 2020-Jun 2021,14400.0,12900.0,,,,,
Oct 2020-Sep 2021,14300.0,11700.0,,,,,
Jan 2021-Dec 2021,25800.0,21500.0,,,,,
Apr 2021-Mar 2022,20100.0,18300.0,,,,,
Jul 2021-Jun 2022,14400.0,12900.0,,,,,
Oct 2021-Sep 2022,18700.0,17500.0,,,,,
Jan 2022-Dec 2022,16700.0,15600.0,,,,,
Apr 2022-Mar 2023,20600.0,18400.0,,,,,
Jul 2022-Jun 2023,22400.0,19600.0,,,,,
Oct 2022-Sep 2023,19700.0,16500.0,,,,,
Jul 2023-Jun 2024,5200.0,5200.0,,,,,
